scenario_id,wind_scenario,pv_scenario,hour,time,base_load_mw,wind_power_mw,pv_power_mw,renewable_power_mw,power_ratio,on_status,alk_power_mw,pem_power_mw,ammonia_power_mw,hydrogen_ammonia_load_mw,total_load_mw,curtailment_mw,unserved_load_mw,storage_charge_mw,storage_discharge_mw,soc_mwh,hourly_ammonia_output_ton,wind_generation_cost_yuan,pv_generation_cost_yuan,alk_om_cost_yuan,pem_om_cost_yuan,ammonia_om_cost_yuan,storage_om_cost_yuan,hourly_net_cost_yuan
W5_PV1,风电场景5,光伏场景1,14,14:00-15:00,3.63,8.256,52.48,60.736,1.0,1,20.0,20.0,1.5,41.5,45.13,15.605999999999995,0.0,0.0,0.0,0.0,3.0,1238.3999999999999,6297.599999999999,2000.0,3000.0,3.0,0.0,12539.0
W5_PV1,风电场景5,光伏场景1,15,15:00-16:00,3.8202000000000003,8.556000000000001,44.8,53.355999999999995,1.0,1,20.0,20.0,1.5,41.5,45.3202,8.035799999999995,0.0,0.0,0.0,0.0,3.0,1283.4000000000003,5376.0,2000.0,3000.0,3.0,0.0,11662.400000000001
W5_PV1,风电场景5,光伏场景1,16,16:00-17:00,3.75,15.664,33.28,48.944,1.0,1,20.0,20.0,1.5,41.5,45.25,3.6940000000000026,0.0,0.0,0.0,0.0,3.0,2349.6,3993.6,2000.0,3000.0,3.0,0.0,11346.2
W5_PV1,风电场景5,光伏场景1,17,17:00-18:00,3.1398,8.372,24.32,32.692,0.7121012048192771,1,14.242024096385542,14.242024096385542,1.0681518072289156,29.5522,32.692,0.0,0.0,0.0,0.0,0.0,2.136303614457831,1255.8,2918.4,1424.2024096385542,2136.303614457831,2.136303614457831,0.0,7736.842327710842
W5_PV1,风电场景5,光伏场景1,18,18:00-19:00,2.61,7.872,11.52,19.392,0.40438554216867467,1,8.087710843373493,8.087710843373493,0.606578313253012,16.782,19.392,0.0,0.0,0.0,0.0,0.0,1.213156626506024,1180.8,1382.3999999999999,808.7710843373493,1213.156626506024,1.2131566265060243,0.0,4586.340867469879
W5_PV1,风电场景5,光伏场景1,19,19:00-20:00,2.1198,11.175999999999998,0.0,11.175999999999998,0.21822168674698791,1,4.364433734939758,4.364433734939758,0.32733253012048186,9.056199999999999,11.175999999999998,0.0,0.0,0.0,0.0,0.0,0.6546650602409637,1676.3999999999996,0.0,436.44337349397586,654.6650602409637,0.6546650602409637,0.0,2768.16309879518
W5_PV1,风电场景5,光伏场景1,20,20:00-21:00,1.8599999999999999,9.884,0.0,9.884,0.19334939759036146,1,3.8669879518072294,3.8669879518072294,0.29002409638554216,8.024000000000001,9.884,0.0,0.0,0.0,0.0,0.0,0.5800481927710843,1482.6,0.0,386.698795180723,580.0481927710844,0.5800481927710843,0.0,2449.9270361445783
W5_PV1,风电场景5,光伏场景1,21,21:00-22:00,1.6301999999999999,9.02,0.0,9.02,0.17806746987951805,1,3.561349397590361,3.561349397590361,0.26710120481927707,7.389799999999999,9.02,0.0,0.0,0.0,0.0,0.0,0.5342024096385541,1353.0,0.0,356.1349397590361,534.2024096385542,0.5342024096385541,0.0,2243.871551807229
W5_PV1,风电场景5,光伏场景1,22,22:00-23:00,1.56,6.204,0.0,6.204,0.11190361445783133,1,2.2380722891566265,2.2380722891566265,0.167855421686747,4.644,6.204000000000001,0.0,0.0,0.0,0.0,0.0,0.335710843373494,930.5999999999999,0.0,223.80722891566268,335.71084337349396,0.335710843373494,0.0,1490.45378313253
W5_PV1,风电场景5,光伏场景1,23,23:00-24:00,1.4802,16.928,0.0,16.928,0.3722361445783133,1,7.444722891566266,7.444722891566266,0.5583542168674699,15.4478,16.928,0.0,0.0,0.0,0.0,0.0,1.1167084337349398,2539.2,0.0,744.4722891566266,1116.7084337349397,1.1167084337349398,0.0,4401.4974313253015
W5_PV2,风电场景5,光伏场景2,0,0:00-1:00,1.3698000000000001,9.776,0.0,9.776,0.20255903614457832,1,4.051180722891567,4.051180722891567,0.30383855421686745,8.4062,9.776,0.0,0.0,0.0,0.0,0.0,0.6076771084337349,1466.3999999999999,0.0,405.1180722891567,607.677108433735,0.6076771084337349,0.0,2479.802857831325
W5_PV2,风电场景5,光伏场景2,1,1:00-2:00,1.0997999999999999,13.5,0.0,13.5,0.2988,1,5.976,5.976,0.44820000000000004,12.4002,13.5,0.0,0.0,0.0,0.0,0.0,0.8964000000000001,2025.0,0.0,597.6,896.4,0.8964000000000001,0.0,3519.8964
W5_PV2,风电场景5,光伏场景2,2,2:00-3:00,0.7998000000000001,15.392,0.0,15.392,0.3516192771084337,1,7.032385542168674,7.032385542168674,0.5274289156626506,14.592199999999998,15.391999999999998,0.0,0.0,0.0,0.0,0.0,1.0548578313253012,2308.7999999999997,0.0,703.2385542168674,1054.857831325301,1.0548578313253012,0.0,4067.951243373493
W5_PV2,风电场景5,光伏场景2,3,3:00-4:00,0.99,13.312,0.0,13.312,0.2969156626506024,1,5.938313253012048,5.938313253012048,0.44537349397590353,12.322,13.312,0.0,0.0,0.0,0.0,0.0,0.8907469879518071,1996.8,0.0,593.8313253012047,890.7469879518071,0.8907469879518072,0.0,3482.269060240964
W5_PV2,风电场景5,光伏场景2,4,4:00-5:00,1.1802000000000001,15.144,0.0,15.144,0.3364771084337349,1,6.729542168674698,6.729542168674698,0.5047156626506024,13.963799999999999,15.143999999999998,0.0,0.0,0.0,0.0,0.0,1.0094313253012048,2271.6,0.0,672.9542168674698,1009.4313253012047,1.0094313253012048,0.0,3954.9949734939755
W5_PV2,风电场景5,光伏场景2,5,5:00-6:00,1.6301999999999999,14.315999999999999,0.0,14.315999999999999,0.30568192771084335,1,6.113638554216867,6.113638554216867,0.458522891566265,12.685799999999999,14.315999999999999,0.0,0.0,0.0,0.0,0.0,0.91704578313253,2147.3999999999996,0.0,611.3638554216867,917.0457831325301,0.91704578313253,0.0,3676.726684337349
W5_PV2,风电场景5,光伏场景2,6,6:00-7:00,2.5002,17.852,0.0,17.852,0.36992289156626507,1,7.3984578313253015,7.3984578313253015,0.5548843373493976,15.3518,17.852,0.0,0.0,0.0,0.0,0.0,1.1097686746987951,2677.7999999999997,0.0,739.8457831325302,1109.7686746987952,1.1097686746987951,0.0,4528.524226506023
W5_PV2,风电场景5,光伏场景2,7,7:00-8:00,3.3701999999999996,9.628,3.2,12.828,0.22789879518072287,1,4.557975903614457,4.557975903614457,0.3418481927710843,9.457799999999999,12.828,0.0,0.0,0.0,0.0,0.0,0.6836963855421686,1444.2,384.0,455.7975903614457,683.6963855421685,0.6836963855421686,0.0,2968.3776722891566
W5_PV2,风电场景5,光伏场景2,8,8:00-9:00,4.0098,22.324,10.88,33.204,0.7034746987951808,1,14.069493975903615,14.069493975903615,1.0552120481927711,29.194200000000002,33.204,0.0,0.0,0.0,0.0,0.0,2.1104240963855423,3348.6,1305.6,1406.9493975903615,2110.4240963855423,2.1104240963855423,0.0,8173.68391807229
W5_PV2,风电场景5,光伏场景2,9,9:00-10:00,4.199999999999999,20.928,17.92,38.848,0.8348915662650601,1,16.697831325301202,16.697831325301202,1.2523373493975902,34.647999999999996,38.848,0.0,0.0,0.0,0.0,0.0,2.5046746987951805,3139.2,2150.4,1669.7831325301204,2504.67469879518,2.5046746987951805,0.0,9466.562506024096
