mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,curtailment_reduction_mwh,capacity_utilization_gain_pct,delta_capacity_mwh,delta_cost_yuan_per_ton,delta_production_ton,delta_curtailment_reduction_mwh,marginal_production_gain_per_100yuan,marginal_curtailment_reduction_per_100yuan
offgrid_storage_capacity_scan,24,360.0,45090181.05666329,10244.724922294039,4401.307150623476,0.39524401706381324,6598.746515596204,0.0,171351.12,163577.89475840086,0.9614899131351099,1.0,28.457569228594554,4600.394450954946,18.32985143221168,0.0,0.9768627147440322,1.0,16.544756737633794,13.282315832070097,360.0,0.0,0.0,50.0,222.3140150193176,463.1675247036783,7589.9214844038015,1.7869117465419693,5.0,25.73133454773142,29.092096275258882,503.14580195457984,113.06096938459712,1955.381680733459
offgrid_storage_capacity_scan,24,360.0,45481090.567849666,10273.817018569298,4426.893187375769,0.3963663973213464,6095.161317604225,0.0,171351.12,163980.33542354195,0.9644288212554186,1.0,28.53838060713694,4637.627590911589,16.931003660011736,0.0,0.9786973249908409,1.0,17.943604509833737,14.400206568573118,360.0,0.0,0.0,55.0,247.90005177161038,492.25962097893716,8093.50668239578,1.8991497722952833,5.0,25.586036752292785,29.092096275258882,503.58519799197893,113.70301917764547,1968.2032151652102
offgrid_storage_capacity_scan,24,360.0,45871987.16350898,10302.901415943074,4452.336804128306,0.39748848055335934,5591.47725071018,0.0,171351.12,164382.6695872125,0.9673683063716759,1.0,28.61917059984187,4674.844939296169,15.53188125197272,0.0,0.9805323364779405,1.0,19.342726917872753,15.517801467658012,360.0,0.0,0.0,60.0,273.3436685241468,521.3440183527127,8597.190749289824,2.011358095496579,5.0,25.4436167525364,29.084397373775573,503.684066894044,114.30921026931532,1979.6087631442301
offgrid_storage_capacity_scan,24,360.0,46262870.1157943,10331.977391810698,4477.63950320517,0.3986102388815856,5087.636597203452,0.0,171351.12,164784.8872533813,0.9703087053227114,1.0,28.699937199474164,4712.0469178993435,14.1323238811207,0.0,0.9823679397472008,1.0,20.742284288724772,16.635072762571415,360.0,0.0,0.0,65.0,298.64636760101075,550.4199942203377,9101.031402796554,2.1235339283192047,5.0,25.302699076863973,29.075975867624948,503.8406535067297,114.91254659946989,1991.2526010611512
offgrid_storage_capacity_scan,24,360.0,46653735.58884986,10361.040386289083,4502.804144127015,0.3997314963846097,4583.199427777646,0.0,171351.12,165186.92534366564,0.9732525855227696,1.0,28.780667739691904,4749.234871126834,12.731109521604571,0.0,0.9842057368682474,1.0,22.143498648240904,17.75184523558341,360.0,0.0,0.0,70.0,323.81100852285635,579.4829886987227,9605.468572222358,2.2356596786216154,5.0,25.164640921845603,29.062994478385008,504.4371694258043,115.49139353367532,2004.54745606125
offgrid_storage_capacity_scan,24,360.0,47044586.96838656,10390.093892944105,4527.830783159184,0.40085238784506577,4078.458109337529,0.0,171351.12,165588.8321857268,0.9761982407273584,1.0,28.861371924844736,4786.408316306627,11.329050303715357,0.0,0.9860446114899352,1.0,23.545557866130114,18.868253130197683,360.0,0.0,0.0,75.0,348.8376475550249,608.5364953537446,10110.209890662476,2.3477488246672227,5.0,25.026639032168532,29.05350665502192,504.74131844011754,116.09032526372147,2016.8162324606888
offgrid_storage_capacity_scan,24,360.0,47435430.79152479,10419.141642730641,4552.719640261359,0.40197305720411425,3573.432740296722,0.0,171351.12,165990.6593911072,0.9791455536427381,1.0,28.94206011869623,4823.567078374999,9.926202056379784,0.0,0.9878846357867515,1.0,24.94840611346569,19.984439811809946,360.0,0.0,0.0,80.0,373.72650465720017,637.5842451402805,10615.235259703284,2.4598157605720705,5.0,24.88885710217528,29.04774978653586,505.0253690408081,116.7098580191418,2029.1223778076535
offgrid_storage_capacity_scan,24,360.0,47809858.324019715,10439.897792374622,4579.53317885357,0.4027738345823543,3212.573449840811,0.0,171351.12,166277.78612784893,0.981251517644934,1.0,28.999716089929507,4861.841753196143,8.923815138446697,0.0,0.9891380348602178,1.0,25.950793031398778,20.782014080536978,360.0,0.0,0.0,85.0,400.5400432494107,658.3403947842617,10976.094550159194,2.539893498396073,5.0,26.813538592210534,20.75614964398119,360.85929045591,77.40921464953885,1345.8100250921057
offgrid_storage_capacity_scan,24,360.0,48181528.41316453,10459.260187894935,4606.590480359941,0.4035208405823663,2875.746499660482,0.0,171351.12,166545.63259921325,0.9832172296296605,1.0,29.053500521930374,4900.289196929166,7.988184721279116,0.0,0.990296861634973,1.0,26.886423448566347,21.52603205654897,360.0,0.0,0.0,90.0,427.5973447557817,677.7027903045746,11312.921500339522,2.6145940983972773,5.0,27.057301506371005,19.36239552031293,336.8269501803279,71.5607042917927,1244.8652726917999
offgrid_storage_capacity_scan,24,360.0,48553200.47402613,10478.622583415246,4633.547977085498,0.40426784658237835,2538.7223778024627,0.0,171351.12,166813.4790705776,0.9851840923023879,1.0,29.10728495393124,4938.728337544311,7.052006605006841,0.0,0.9914563621606071,1.0,27.822601564838635,22.27005003256099,360.0,0.0,0.0,95.0,454.5548414813393,697.0651858248857,11649.945622197542,2.689294698398481,5.0,26.957496725557576,19.36239552031111,337.0241218580195,71.82564359529057,1250.2055561356972
